"taxa","species"
"insects","Hybomitra lundbecki"
"insects","Hybomitra lurida"
"insects","Hybomitra micans"
"insects","Hybomitra montana"
"insects","Hybomitra morgani"
"insects","Hybomitra muehlfeldi"
"insects","Hybomitra nigricornis"
"insects","Hybomitra nitidifrons"
"insects","Hybomitra sexfasciata"
"insects","Hybomitra solstitialis"
"insects","Hybomitra tardandina"
"insects","Hybomitra tropica"
"insects","Tabanus autumnalis"
"insects","Tabanus bovinus"
"insects","Tabanus bromius"
"insects","Tabanus cordiger"
"insects","Tabanus glaucopis"
"insects","Tabanus maculicornis"
"insects","Tabanus miki"
"insects","Tabanus sudeticus"
"insects","Heptatoma pellucens"
"insects","Haematopota bigoti"
"insects","Haematopota crassicornis"
"insects","Haematopota grandis"
"insects","Haematopota italica"
"insects","Haematopota pluvialis"
"insects","Haematopota subcylindrica"
"insects","Athericidae"
"insects","Chrysopilus auratus"
"insects","Chrysopilus erythrophthalmus"
"insects","Beris clavipes"
"insects","Beris vallata"
"insects","Odontomyia angulata"
"insects","Odontomyia argentata"
"insects","Odontomyia hydroleon"
"insects","Odontomyia microleon"
"insects","Odontomyia ornata"
"insects","Odontomyia tigrina"
"insects","Oplodontha viridula"
"insects","Stratiomys chamaeleon"
"insects","Stratiomys longicornis"
"insects","Stratiomys potamida"
"insects","Stratiomys singularior"
"insects","Nemotelus nigrinus"
"insects","Nemotelus notatus"
"insects","Nemotelus pantherinus"
"insects","Nemotelus uliginosus"
"insects","Oxycera centralis"
"insects","Oxycera dives"
"insects","Oxycera fallenii"
"insects","Oxycera meigenii"
"insects","Oxycera nigricornis"
"insects","Oxycera paradalina"
"insects","Oxycera pygmaea"
"insects","Oxycera trilineata"
"insects","Phyllodromia melanocephala"
"insects","Chelipoda albiseta"
"insects","Chelipoda inexspectata"
"insects","Chelipoda vocatoria"
"insects","Chelifera angusta"
"insects","Chelifera concinnicauda"
"insects","Chelifera flavella"
"insects","Chelifera frigelii"
"insects","Chelifera monostigma"
"insects","Chelifera precabunda"
"insects","Chelifera precatoria"
"insects","Chelifera stigmatica"
"insects","Chelifera subangusta"
"insects","Chelifera trapezina"
"insects","Hemerodromia adulatoria"
"insects","Hemerodromia baetica"
"insects","Hemerodromia oratoria"
"insects","Hemerodromia raptoria"
"insects","Hemerodromia unilineata"
"insects","Heleodromia immaculata"
"insects","Dryodromia testacea"
"insects","Trichopeza albocincta"
"insects","Trichopeza longicornis"
"insects","Dolichocephala guttata"
"insects","Dolichocephala ocellata"
"insects","Dolichocephala thomasi"
"insects","Trichoclinocera lapponica"
"insects","Clinocera appendiculata"
"insects","Clinocera nigra"
"insects","Clinocera fontinalis"
"insects","Clinocera nivalis"
"insects","Clinocera stagnalis"
"insects","Clinocera wesmaeli"
"insects","Clinocera bipunctata"
"insects","Clinocera tenella"
"insects","Wiedemannia bistigma"
"insects","Wiedemannia insularis"
"insects","Wiedemannia bohemani"
"insects","Wiedemannia fallaciosa"
"insects","Wiedemannia impudica"
"insects","Wiedemannia zetterstedti"
"insects","Aphrosylus ferox"
"insects","Liancalus virens"
"insects","Hydrophorus albiceps"
"insects","Hydrophorus alpinus"
"insects","Hydrophorus altivagus"
"insects","Hydrophorus balticus"
"insects","Hydrophorus bipunctatus"
"insects","Hydrophorus borealis"
"insects","Hydrophorus brunnicosus"
"insects","Hydrophorus freyi"
"insects","Hydrophorus geminus"
"insects","Hydrophorus litoreus"
"insects","Hydrophorus nebulosus"
"insects","Hydrophorus norvegicus"
"insects","Hydrophorus oceanus"
"insects","Hydrophorus pectinatus"
"insects","Hydrophorus pilipes"
"insects","Hydrophorus praecox"
"insects","Hydrophorus rufibarbis"
"insects","Hydrophorus signiferus"
"insects","Hydrophorus viridis"
"insects","Campsicnemus alpinus"
"insects","Campsicnemus armatus"
"insects","Campsicnemus compeditus"
"insects","Campsicnemus curvipes"
"insects","Campsicnemus dasycnemus"
"insects","Campsicnemus femoratus"
"insects","Campsicnemus loripes"
"insects","Campsicnemus lumbatus"
"insects","Campsicnemus marginatus"
"insects","Campsicnemus paradoxus"
"insects","Campsicnemus picticornis"
"insects","Campsicnemus pumilio"
"insects","Campsicnemus pusillus"
"insects","Campsicnemus scambus"
"insects","Telmaturgus tumidulus"
"insects","Teuchophorus monocanthus"
"insects","Teuchophorus signatus"
"insects","Teuchophorus spinigerellus"
"insects","Chrysogaster cemiteriorum"
"insects","Chrysogaster solstitialis"
"insects","Chrysogaster virescens"
"insects","Lejogaster metallina"
"insects","Lejogaster tarsata"
"insects","Melanogaster aerosa"
"insects","Melanogaster hirtella"
"insects","Melanogaster inornata"
"insects","Melanogaster nuda"
"insects","Myolepta luteola"
"insects","Orthonevra brevicornis"
"insects","Orthonevra elegans"
"insects","Orthonevra erythrogona"
"insects","Orthonevra geniculata"
"insects","Orthonevra intermedia"
"insects","Orthonevra nobilis"
"insects","Orthonevra stackelbergi"
"insects","Anasimyia contracta"
"insects","Anasimyia interpuncta"
"insects","Anasimyia lineata"
"insects","Anasimyia lunulata"
"insects","Anasimyia transfuga"
"insects","Eristalinus aeneus"
"insects","Eristalinus sepulcralis"
"insects","Eristalis abusiva"
"insects","Eristalis alpina"
"insects","Eristalis anthophorina"
"insects","Eristalis arbustorum"
"insects","Eristalis cryptarum"
"insects","Eristalis fratercula"
"insects","Eristalis horticola"
"insects","Eristalis interrupta"
"insects","Eristalis intricaria"
"insects","Eristalis oestracea"
"insects","Eristalis pertinax"
"insects","Eristalis picea"
"insects","Eristalis pratorum"
"insects","Eristalis rupium"
"insects","Eristalis tenax"
"insects","Eristalis tundrarum"
"insects","Eristalis vallei"
"insects","Eristalis vitripennis"
"insects","Helophilus affinis"
"insects","Helophilus borealis"
"insects","Helophilus bottnicus"
"insects","Helophilus groenlandicus"
"insects","Helophilus hybridus"
"insects","Helophilus lapponicus"
"insects","Helophilus pendulus"
"insects","Helophilus trivittatus"
"insects","Lejops vittatus"
"insects","Mallota cimbiciformis"
"insects","Mallota megilliformis"
"insects","Myathropa florea"
"insects","Parhelophilus consimilis"
"insects","Parhelophilus frutetorum"
"insects","Parhelophilus versicolor"
"insects","Sericomyia arctica"
"insects","Sericomyia lappona"
"insects","Sericomyia nigra"
"insects","Sericomyia silentis"
"insects","Sericomyia undulans"
"insects","Colobaea bifasciella"
"insects","Colobaea distincta"
"insects","Colobaea nigroaristata"
"insects","Colobaea pectoralis"
"insects","Colobaea punctata"
"insects","Ditaeniella grisescens"
"insects","Pherbellia albocostata"
"insects","Pherbellia alpina"
"insects","Pherbellia annulipes"
"insects","Pherbellia argyra"
"insects","Pherbellia brunnipes"
"insects","Pherbellia cinerella"
"insects","Pherbellia dorsata"
"insects","Pherbellia dubia"
"insects","Pherbellia griseicollis"
"insects","Pherbellia griseola"
"insects","Pherbellia hackmani"
"insects","Pherbellia nana"
"insects","Pherbellia obscura"
"insects","Pherbellia obtusa"
"insects","Pherbellia pallidiventris"
"insects","Pherbellia rozkosnyi"
"insects","Pherbellia schoenherri"
"insects","Pherbellia scutellaris"
"insects","Pherbellia sordida"
"insects","Pherbellia stackelbergi"
"insects","Pherbellia stylifera"
"insects","Pherbellia ventralis"
"insects","Pteromicra angustipennis"
"insects","Pteromicra glabricula"
"insects","Pteromicra leucopeza"
"insects","Pteromicra oldenbergi"
"insects","Pteromicra pectorosa"
"insects","Sciomyza dryomyzina"
"insects","Sciomyza simplex"
"insects","Sciomyza testacea"
"insects","Tetanura pallidiventris"
"insects","Antichaeta analis"
"insects","Antichaeta atriseta"
"insects","Antichaeta brevipennis"
"insects","Antichaeta nigra"
"insects","Antichaeta obliviosa"
"insects","Coremacera marginata"
"insects","Dichetophora finlandica"
"insects","Dictya umbrarum"
"insects","Ectinocera borealis"
"insects","Elgiva cucularia"
"insects","Elgiva divisa"
"insects","Elgiva solicita"
"insects","Euthycera chaerophylli"
"insects","Euthycera fumigata"
"insects","Hydromya dorsalis"
"insects","Ilione albiseta"
"insects","Ilione lineata"
"insects","Ilione rossica"
"insects","Limnia paludicola"
"insects","Limnia unguicornis"
"insects","Pherbina coryleti"
"insects","Pherbina intermedia"
"insects","Psacadina verbekei"
"insects","Psacadina zernyi"
"insects","Renocera pallida"
"insects","Renocera striata"
"insects","Renocera stroblii"
"insects","Sepedon sphegea"
"insects","Sepedon spinipes"
"insects","Tetanocera arrogans"
"insects","Tetanocera elata"
"insects","Tetanocera ferruginea"
"insects","Tetanocera freyi"
"insects","Tetanocera fuscinervis"
"insects","Tetanocera hyalipennis"
"insects","Tetanocera lapponica"
"insects","Tetanocera latifibula"
"insects","Tetanocera montana"
"insects","Tetanocera ornatifrons"
"insects","Tetanocera phyllophora"
"insects","Tetanocera punctifrons"
"insects","Tetanocera robusta"
"insects","Tetanocera silvatica"
"insects","Trypetoptera punctulata"
"insects","Discomyza incurva"
"insects","Psilopa bornholmi"
"insects","Psilopa compta"
"insects","Psilopa girschneri"
"insects","Psilopa leucostoma"
"insects","Psilopa marginella"
"insects","Psilopa nigritella"
"insects","Psilopa nitidifacies"
"insects","Psilopa nitidula"
"insects","Psilopa polita"
"insects","Psilopa pulicaria"
"insects","Trimerina madizans"
"insects","Atissa limosina"
"insects","Atissa pygmaea"
"insects","Notiphila annulipes"
"insects","Notiphila aquatica"
"insects","Notiphila brunipes"
"insects","Notiphila cinerea"
"insects","Notiphila dorsata"
"insects","Notiphila guttiventris"
"insects","Notiphila maculata"
"insects","Notiphila major"
"insects","Notiphila nigricornis"
"insects","Notiphila riparia"
"insects","Notiphila uliginosa"
"insects","Notiphila venusta"
"insects","Dichaeta caudata"
"insects","Hydrellia albifrons"
"insects","Hydrellia albilabris"
"insects","Hydrellia argyrogensis"
"insects","Hydrellia caesia"
"insects","Hydrellia cardamines"
"insects","Hydrellia concolor"
"insects","Hydrellia fascitibia"
"insects","Hydrellia flaviceps"
"insects","Hydrellia flavicornis"
"insects","Hydrellia fulviceps"
"insects","Hydrellia fusca"
"insects","Hydrellia geniculata"
"insects","Hydrellia griseola"
"insects","Hydrellia lapponica"
"insects","Hydrellia maura"
"insects","Hydrellia meigeni"
"insects","Hydrellia mutata"
"insects","Hydrellia nigricans"
"insects","Hydrellia nympheae"
"insects","Hydrellia obscura"
"insects","Hydrellia pilitarsis"
"insects","Hydrellia popinqua"
"insects","Hydrellia stratiotella"
"insects","Hydrellia subalbiceps"
"insects","Hydrellia svecica"
"insects","Hydrellia thoracica"
"insects","Hydrellia tibialis"
"insects","Athyroglossa glabra"
"insects","Mosillus subsultans"
"insects","Allotrichoma laterale"
"insects","Allotrichoma bezzii"
"insects","Hecamede albicans"
"insects","Glenanthe ripicola"
"insects","Ochthera manicata"
"insects","Ochthera mantis"
"insects","Ochthera palearctica"
"insects","Discocerina obscurella"
"insects","Ditrichophora calceata"
"insects","Ditrichophora fuscella"
"insects","Ditrichophora glabricula"
"insects","Ditrichophora lambi"
"insects","Ditrichophora nigrithorax"
"insects","Ditrichophora psilopina"
"insects","Ditrichophora sia"
"insects","Gymnoclasiopa aurifacies"
"insects","Gymnoclasiopa aurivilli"
"insects","Gymnoclasiopa bohemanni"
"insects","Gymnoclasiopa cinerella"
"insects","Gymnoclasiopa nigerrima"
"insects","Gymnoclasiopa plumosa"
"insects","Gymnoclasiopa pulchella"
"insects","Polytrichophora duplosetosa"
"insects","Hecamedoides glaucellus"
"insects","Ilythea spilota"
"insects","Philygria albidipennis"
"insects","Philygria flavipes"
"insects","Philygria interstincta"
"insects","Philygria maculipennis"
"insects","Philygria nigricauda"
"insects","Philygria obtecta"
"insects","Philygria posticata"
"insects","Philygria punctatonervosa"
"insects","Philygria stictica"
"insects","Philygria vittipennis"
"insects","Nostima picta"
"insects","Axysta cesta"
"insects","Hyadina guttata"
"insects","Hyadina humeralis"
"insects","Hyadina nigricornis"
"insects","Hyadina nitida"
"insects","Hyadina scutellata"
"insects","Hyadina vockerothi"
"insects","Lytogaster abdominalis"
"insects","Pelina aenea"
"insects","Pelina aenescens"
"insects","Pelina norvegica"
"insects","Eutaenionotum guttipennis"
"insects","Parydra aquila"
"insects","Parydra coarctata"
"insects","Parydra cognata"
"insects","Parydra fossarum"
"insects","Parydra littoralis"
"insects","Parydra mitis"
"insects","Parydra nigritarsis"
"insects","Parydra nubecula"
"insects","Parydra quadripunctata"
"insects","Parydra undulata"
"insects","Parydra pusilla"
"insects","Ephydra macellaria alandica"
"insects","Ephydra riparia"
"insects","Ephydra scholtzi"
"insects","Setacera aurata"
"insects","Setacera breviventris"
"insects","Setacera micans"
"insects","Paracoenia fumosa"
"insects","Calocoenia paurosoma"
"insects","Coenia borealis"
"insects","Coenia curvicauda"
"insects","Coenis palustris"
"insects","Limnellia fallax"
"insects","Limnllia quadrata"
"insects","Limnellia stenhammari"
"insects","Limnellia surturi"
"insects","Scatophila caviceps"
"insects","Scatophila contaminata"
"insects","Scatophila cribrata"
"insects","Scatophila despecta"
"insects","Scatophila mesogramma"
"insects","Scatophila iowana"
"insects","Scatophila noctula"
"insects","Scatophila planiceps"
"insects","Scatophila quadriguttata"
"insects","Scatophila signata"
"insects","Scatophila unicornis"
"insects","Lamproscatella brunneifrons"
"insects","Lamproscatella sibilans"
"insects","Haloscatella dichaeta"
"insects","Thinoscatella quadrisetosa"
"insects","Philotelma nigripenne"
"insects","Scatella crassicosta"
"insects","Scatella lutosa"
"insects","Scatella obsoleta"
"insects","Scatella paludum"
"insects","Scatella stagnalis"
"insects","Scatella silacea"
"insects","Scatella subguttata"
"insects","Scatella tenuicosta"
"insects","Teichomyza fusca"
"insects","Hydromyza livens"
"insects","Acanthocnema glaucescens"
"insects","Acanthocnema nigrimana"
"insects","Spaziphora hydromyzina"
"insects","Scatophaga obscura"
"insects","Phaonia exoleta"
"insects","Graphomya maculata"
"insects","Spilogona aerea"
"insects","Spilogona baltica"
"insects","Spilogona biseriata"
"insects","Spilogona contractifrons"
"insects","Spilogona falleni"
"insects","Spilogona leucogaster"
"insects","Spilogona marina"
"insects","Spilogona pacifica"
"insects","Spilogona setigera"
"insects","Spilogona surda"
"insects","Spilogona varsaviensis"
"insects","Spilogona veterrima"
"insects","Villeneuvia aestuum"
"insects","Limnophora exuta"
"insects","Limnophora pandellei"
"insects","Limnophora pollinifrons"
"insects","Limnophora riparia"
"insects","Limnophora scrupulosa"
"insects","Lispe caesia"
"insects","Lispe consanguinea"
"insects","Lispe hydromyzina"
"insects","Lispe litorea"
"insects","Lispe loewi"
"insects","Lispe nana"
"insects","Lispe melaleuca"
"insects","Lispe pygmaea"
"insects","Lispe tentaculata"
"insects","Lispe uliginosa"
"insects","Pseudocoenosia abnormis"
"insects","Pseudocoenosia solitaria"
"insects","Lispocephala alma"
"insects","Lispocephala erythrocera"
"insects","Lispocephala falculata"
"insects","Lispocephala fuscitibia"
"insects","Lispocephala pallipalpis"
"insects","Lispocephala rubricornis"
"insects","Lispocephala spuria"
"insects","Lispocephala spuria"
"insects","Lispocephala verna"
"insects","Schoenomyza litorella"
"insects","Ephemeroptera"
"insects","Mesovelia furcata"
"insects","Hebrus pusillus"
"insects","Hebrus ruficeps"
"insects","Hydrometra gracilenta"
"insects","Hydrometra stagnorum"
"insects","Microvelia reticulata"
"insects","Velia caprai"
"insects","Velia saulii"
"insects","Aquarius najas"
"insects","Aquarius paludum"
"insects","Gerris argentatus"
"insects","Gerris lacustris"
"insects","Gerris lateralis"
"insects","Gerris odontogaster"
"insects","Gerris thoracicus"
"insects","Limnoporus rufoscutellatus"
"insects","Nepa cinerea"
"insects","Ranatra linearis"
"insects","Micronecta minutissima"
"insects","Micronecta poweri"
"insects","Cymatia bonsdorffii"
"insects","Cymatia coleoptrata"
"insects","Glaenocorisa cavifrons"
"insects","Glaenocorisa propinqua"
"insects","Arctocorisa carinata"
"insects","Arctocorisa germari"
"insects","Callicorixa praeusta"
"insects","Callicorixa producta"
"insects","Callicorixa wollastoni"
"insects","Corixa dentipes"
"insects","Corixa panzeri"
"insects","Corixa punctata"
"insects","Hesperocorixa castanea"
"insects","Hesperocorixa linnaei"
"insects","Hesperocorixa sahlbergi"
"insects","Paracorixa concinna"
"insects","Sigara distincta"
"insects","Sigara dorsalis"
"insects","Sigara falleni"
"insects","Sigara fallenoidea"
"insects","Sigara fossarum"
"insects","Sigara hellensii"
"insects","Sigara lateralis"
"insects","Sigara limitata"
"insects","Sigara longipalis"
"insects","Sigara nigrolineata"
"insects","Sigara scotti"
"insects","Sigara semistriata"
"insects","Sigara striata"
"insects","Aphelocheirus aestivalis"
"insects","Notonecta glauca"
"insects","Notonecta lutea"
"insects","Notonecta reuteri"
"insects","Acentria ephemerella"
"insects","Cataclysta lemnata"
"insects","Elophila nymphaeata"
"insects","Paraponyx stratiotata"
"insects","Nymphula nitidulata"
"insects","Megaloptera"
"insects","Sisyridae"
"insects","Odonata"
"insects","Plecoptera"
"insects","Trichoptera"
"birds","Actitis hypoleucos"
"birds","Anas acuta"
"birds","Anas crecca"
"birds","Anas penelope"
"birds","Anas platyrhynchos"
"birds","Anser albifrons"
"birds","Anser anser"
"birds","Anser brachyrhynchus"
"birds","Anser fabalis"
"birds","Ardea cinerea"
"birds","Arenaria interpres"
"birds","Aythya fuligula"
"birds","Aythya marila"
"birds","Branta canadensis"
"birds","Branta leucopsis"
"birds","Bucephala clangula"
"birds","Calidris alpina"
"birds","Calidris falcinellus"
"birds","Calidris maritima"
"birds","Calidris minuta"
"birds","Calidris pugnax"
"birds","Calidris temminckii"
"birds","Charadrius dubius"
"birds","Charadrius hiaticula"
"birds","Chroicocephalus ridibundus"
"birds","Cinclus cinclus"
"birds","Clangula hyemalis"
"birds","Cygnus cygnus"
"birds","Cygnus olor"
"birds","Fulica atra"
"birds","Gallinago gallinago"
"birds","Gallinago media"
"birds","Gavia arctica"
"birds","Gavia immer"
"birds","Gavia stellata"
"birds","Limosa lapponica"
"birds","Limosa limosa"
"birds","Lymnocryptes minimus"
"birds","Melanitta fusca"
"birds","Melanitta nigra"
"birds","Mergellus albellus"
"birds","Mergus merganser"
"birds","Mergus serrator"
"birds","Motacilla cinerea"
"birds","Numenius arquata"
"birds","Numenius phaeopus"
"birds","Pandion haliaetus"
"birds","Phalaropus lobatus"
"birds","Podiceps auritus"
"birds","Podiceps cristatus"
"birds","Porzana porzana"
"birds","Tadorna tadorna"
"birds","Tringa erythropus"
"birds","Tringa glareola"
"birds","Tringa nebularia"
"birds","Tringa ochropus"
"birds","Tringa totanus"
"birds","Vanellus vanellus"
"birds","Phalacrocorax carbo"
"birds","Phalacrocorax carbo sinensis"
"birds","Larus canus"
